channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
545296,1976707,1497513,1508999,2031196,-467856,-357143,-8388608,1404857045.794,0
551899,1975927,1505151,1508682,2031338,-467151,-357634,-8388608,1404857045.801,0
545414,1976093,1499401,1508227,2031039,-467732,-357032,-8388608,1404857045.809,0
545653,1976161,1502573,1508796,2031319,-467366,-357941,-8388608,1404857045.814,0
542492,1975366,1499818,1507686,2030506,-467983,-358054,-8388608,1404857045.821,0
536920,1975480,1495964,1507859,2030230,-468514,-358066,-8388608,1404857045.831,0
545183,1975611,1505753,1508469,2031158,-466735,-358304,-8388608,1404857045.835,0
533451,1975025,1495628,1506779,2029777,-468784,-358528,-8388608,1404857045.843,0
535618,1975073,1499230,1507470,2030401,-468171,-358518,-8388608,1404857045.849,0
537513,1974654,1501529,1507181,2030604,-467849,-357824,-8388608,1404857045.855,0
530492,1974631,1497857,1507758,2030666,-468167,-358078,-8388608,1404857045.862,0
535064,1975013,1502851,1508254,2031157,-467032,-358202,-8388608,1404857045.868,0
527381,1975271,1496364,1507760,2030213,-468162,-358216,-8388608,1404857045.875,0
532103,1975564,1503585,1508731,2031211,-467259,-358527,-8388608,1404857045.883,0
524945,1974910,1497182,1507220,2030196,-468673,-358440,-8388608,1404857045.888,0
522229,1974984,1496162,1507441,2029978,-469036,-358767,-8388608,1404857045.895,0
529833,1975246,1504503,1507911,2030699,-467617,-358731,-8388608,1404857045.903,0
518475,1975114,1495546,1506984,2029777,-469331,-358457,-8388608,1404857045.908,0
523088,1975241,1501291,1507604,2030516,-468452,-358704,-8388608,1404857045.916,0
520561,1974754,1499315,1507058,2030108,-468860,-358171,-8388608,1404857045.924,0
517902,1974766,1499726,1507325,2029894,-468944,-358843,-8388608,1404857045.929,0
522859,1975059,1504786,1507685,2030392,-467813,-358787,-8388608,1404857045.936,0
511811,1975084,1495459,1506963,2029526,-469066,-358402,-8388608,1404857045.941,0
519496,1975406,1504695,1508029,2030591,-467545,-358841,-8388608,1404857045.948,0
516787,1975160,1501988,1507734,2030323,-467881,-358424,-8388608,1404857045.957,0
510093,1975053,1498108,1507727,2029877,-468798,-358783,-8388608,1404857045.962,0
514956,1975029,1503181,1507668,2030096,-467854,-358639,-8388608,1404857045.969,0
507333,1974757,1496554,1506977,2029269,-469094,-358611,-8388608,1404857045.977,0
511981,1975059,1503460,1507775,2030113,-468123,-358974,-8388608,1404857045.982,0
505371,1974836,1497410,1506765,2029452,-469286,-358379,-8388608,1404857045.989,0
502503,1975041,1496297,1507132,2029447,-469403,-358376,-8388608,1404857045.998,0
510156,1975003,1504594,1507721,2030334,-468065,-358313,-8388608,1404857046.003,0
498941,1974807,1495719,1507154,2029534,-469464,-357947,-8388608,1404857046.01,0
507367,1975311,1505118,1507851,2030412,-467791,-358223,-8388608,1404857046.018,0
502406,1975790,1500422,1507808,2030161,-468018,-357504,-8388608,1404857046.023,0
500033,1976236,1500866,1508156,2029979,-468006,-358383,-8388608,1404857046.031,0
500938,1976176,1501738,1507871,2030044,-467517,-357997,-8388608,1404857046.035,0
494384,1975919,1496460,1507588,2029523,-468404,-358041,-8388608,1404857046.043,0
501944,1975374,1505296,1507970,2030139,-467306,-358869,-8388608,1404857046.051,0
491595,1974601,1495828,1506362,2028630,-469296,-358786,-8388608,1404857046.056,0
492246,1975429,1498033,1507546,2029752,-468470,-358287,-8388608,1404857046.064,0
497058,1974946,1502963,1507459,2029845,-467962,-358379,-8388608,1404857046.071,0
487176,1974401,1495830,1507188,2028824,-469911,-358924,-8388608,1404857046.076,0
493305,1974687,1502614,1507923,2029845,-468719,-358871,-8388608,1404857046.084,0
486934,1974678,1496634,1506974,2029138,-469644,-358436,-8388608,1404857046.092,0
488759,1974019,1501142,1507251,2029337,-469314,-359273,-8388608,1404857046.097,0
491556,1973975,1503543,1506986,2029635,-468732,-359019,-8388608,1404857046.104,0
480121,1973441,1494182,1505614,2028110,-470673,-359299,-8388608,1404857046.109,0
488387,1973484,1503237,1506300,2028834,-469227,-359787,-8388608,1404857046.116,0
483071,1973266,1498149,1505691,2028072,-470150,-359696,-8388608,1404857046.125,0
480897,1974200,1498753,1506768,2028612,-469684,-359770,-8388608,1404857046.131,0
482560,1974248,1500276,1506201,2028553,-469154,-359542,-8388608,1404857046.137,0
475572,1973753,1494453,1505709,2027665,-470304,-359788,-8388608,1404857046.145,0
483508,1974793,1503809,1507308,2029388,-468441,-359564,-8388608,1404857046.15,0
473924,1974166,1495193,1505984,2028536,-470143,-359094,-8388608,1404857046.157,0
480337,1974488,1503436,1507079,2029611,-468909,-359404,-8388608,1404857046.166,0
479794,1974124,1502623,1506479,2029404,-469159,-359136,-8388608,1404857046.171,0
470244,1974006,1495577,1506336,2028561,-470548,-359279,-8388608,1404857046.178,0
477741,1973818,1503358,1506602,2029506,-468784,-359000,-8388608,1404857046.185,0
470734,1973779,1496971,1505936,2028685,-469802,-358772,-8388608,1404857046.19,0
472663,1974022,1501334,1506581,2029361,-469172,-359351,-8388608,1404857046.199,0
469296,1973993,1497928,1505673,2028752,-469565,-358854,-8388608,1404857046.203,0
464119,1973913,1494419,1505739,2028264,-470397,-359072,-8388608,1404857046.211,0
473194,1974019,1504346,1506770,2029313,-468754,-359242,-8388608,1404857046.219,0
461707,1974026,1494279,1505916,2028339,-470179,-358945,-8388608,1404857046.224,0
