16.0675 	EXP 	New trial (rep=26, index=0): None
16.0811 	EXP 	GratingStim: autoDraw = False
16.0811 	EXP 	GratingStim: autoDraw = False
16.0811 	EXP 	GratingStim: autoDraw = False
16.0811 	EXP 	GratingStim: autoDraw = True
16.1466 	EXP 	GratingStim: autoDraw = False
16.1466 	EXP 	GratingStim: autoDraw = True
16.1968 	EXP 	New trial (rep=27, index=0): None
16.2124 	EXP 	GratingStim: autoDraw = False
16.2124 	EXP 	GratingStim: autoDraw = False
16.2124 	EXP 	GratingStim: autoDraw = False
16.2124 	EXP 	GratingStim: autoDraw = True
16.2794 	EXP 	GratingStim: autoDraw = False
16.2794 	EXP 	GratingStim: autoDraw = True
16.3319 	EXP 	New trial (rep=28, index=0): None
16.3466 	EXP 	GratingStim: autoDraw = False
16.3466 	EXP 	GratingStim: autoDraw = False
16.3466 	EXP 	GratingStim: autoDraw = False
16.3466 	EXP 	GratingStim: autoDraw = True
16.4129 	EXP 	GratingStim: autoDraw = False
16.4129 	EXP 	GratingStim: autoDraw = True
16.4647 	EXP 	New trial (rep=29, index=0): None
16.4801 	EXP 	GratingStim: autoDraw = False
16.4801 	EXP 	GratingStim: autoDraw = False
16.4801 	EXP 	GratingStim: autoDraw = False
16.4801 	EXP 	GratingStim: autoDraw = True
16.5476 	EXP 	GratingStim: autoDraw = False
16.5476 	EXP 	GratingStim: autoDraw = True
16.6311 	EXP 	New trial (rep=1, index=0): None
16.6473 	EXP 	GratingStim: autoDraw = False
16.6473 	EXP 	GratingStim: autoDraw = False
16.6473 	EXP 	GratingStim: autoDraw = False
16.6473 	EXP 	GratingStim: autoDraw = True
18.7524 	EXP 	Created sequence: sequential, trialTypes=1, nReps=30, seed=None
18.7555 	EXP 	New trial (rep=0, index=0): None
18.7675 	EXP 	GratingStim: autoDraw = False
18.7675 	EXP 	GratingStim: autoDraw = False
18.7675 	EXP 	GratingStim: autoDraw = True
18.8382 	EXP 	GratingStim: autoDraw = False
18.8382 	EXP 	GratingStim: autoDraw = True
18.8863 	EXP 	New trial (rep=1, index=0): None
18.9028 	EXP 	GratingStim: autoDraw = False
18.9028 	EXP 	GratingStim: autoDraw = False
18.9028 	EXP 	GratingStim: autoDraw = False
18.9028 	EXP 	GratingStim: autoDraw = True
18.9688 	EXP 	GratingStim: autoDraw = False
18.9688 	EXP 	GratingStim: autoDraw = True
19.0271 	EXP 	New trial (rep=2, index=0): None
19.0394 	EXP 	GratingStim: autoDraw = False
19.0394 	EXP 	GratingStim: autoDraw = False
19.0394 	EXP 	GratingStim: autoDraw = False
19.0394 	EXP 	GratingStim: autoDraw = True
19.1014 	EXP 	GratingStim: autoDraw = False
19.1014 	EXP 	GratingStim: autoDraw = True
19.1537 	EXP 	New trial (rep=3, index=0): None
19.1682 	EXP 	GratingStim: autoDraw = False
19.1682 	EXP 	GratingStim: autoDraw = False
19.1682 	EXP 	GratingStim: autoDraw = False
19.1682 	EXP 	GratingStim: autoDraw = True
19.2394 	EXP 	GratingStim: autoDraw = False
19.2394 	EXP 	GratingStim: autoDraw = True
19.2886 	EXP 	New trial (rep=4, index=0): None
19.3018 	EXP 	GratingStim: autoDraw = False
19.3018 	EXP 	GratingStim: autoDraw = False
19.3018 	EXP 	GratingStim: autoDraw = False
19.3018 	EXP 	GratingStim: autoDraw = True
19.3696 	EXP 	GratingStim: autoDraw = False
19.3696 	EXP 	GratingStim: autoDraw = True
19.4200 	EXP 	New trial (rep=5, index=0): None
19.4356 	EXP 	GratingStim: autoDraw = False
19.4356 	EXP 	GratingStim: autoDraw = False
19.4356 	EXP 	GratingStim: autoDraw = False
19.4356 	EXP 	GratingStim: autoDraw = True
19.5027 	EXP 	GratingStim: autoDraw = False
19.5027 	EXP 	GratingStim: autoDraw = True
19.5547 	EXP 	New trial (rep=6, index=0): None
19.5705 	EXP 	GratingStim: autoDraw = False
19.5705 	EXP 	GratingStim: autoDraw = False
19.5705 	EXP 	GratingStim: autoDraw = False
19.5705 	EXP 	GratingStim: autoDraw = True
19.6359 	EXP 	GratingStim: autoDraw = False
19.6359 	EXP 	GratingStim: autoDraw = True
19.6908 	EXP 	New trial (rep=7, index=0): None
19.7026 	EXP 	GratingStim: autoDraw = False
19.7026 	EXP 	GratingStim: autoDraw = False
19.7026 	EXP 	GratingStim: autoDraw = False
19.7026 	EXP 	GratingStim: autoDraw = True
19.7694 	EXP 	GratingStim: autoDraw = False
19.7694 	EXP 	GratingStim: autoDraw = True
19.8216 	EXP 	New trial (rep=8, index=0): None
19.8362 	EXP 	GratingStim: autoDraw = False
19.8362 	EXP 	GratingStim: autoDraw = False
19.8362 	EXP 	GratingStim: autoDraw = False
19.8362 	EXP 	GratingStim: autoDraw = True
19.9071 	EXP 	GratingStim: autoDraw = False
19.9071 	EXP 	GratingStim: autoDraw = True
19.9546 	EXP 	New trial (rep=9, index=0): None
19.9718 	EXP 	GratingStim: autoDraw = False
19.9718 	EXP 	GratingStim: autoDraw = False
19.9718 	EXP 	GratingStim: autoDraw = False
19.9718 	EXP 	GratingStim: autoDraw = True
20.0378 	EXP 	GratingStim: autoDraw = False
20.0378 	EXP 	GratingStim: autoDraw = True
20.0879 	EXP 	New trial (rep=10, index=0): None
20.1073 	EXP 	GratingStim: autoDraw = False
20.1073 	EXP 	GratingStim: autoDraw = False
20.1073 	EXP 	GratingStim: autoDraw = False
20.1073 	EXP 	GratingStim: autoDraw = True
20.1702 	EXP 	GratingStim: autoDraw = False
20.1702 	EXP 	GratingStim: autoDraw = True
20.2228 	EXP 	New trial (rep=11, index=0): None
20.2378 	EXP 	GratingStim: autoDraw = False
20.2378 	EXP 	GratingStim: autoDraw = False
20.2378 	EXP 	GratingStim: autoDraw = False
20.2378 	EXP 	GratingStim: autoDraw = True
20.3038 	EXP 	GratingStim: autoDraw = False
20.3038 	EXP 	GratingStim: autoDraw = True
20.3595 	EXP 	New trial (rep=12, index=0): None
20.3705 	EXP 	GratingStim: autoDraw = False
20.3705 	EXP 	GratingStim: autoDraw = False
20.3705 	EXP 	GratingStim: autoDraw = False
20.3705 	EXP 	GratingStim: autoDraw = True
20.4386 	EXP 	GratingStim: autoDraw = False
20.4386 	EXP 	GratingStim: autoDraw = True
20.4887 	EXP 	New trial (rep=13, index=0): None
20.5046 	EXP 	GratingStim: autoDraw = False
20.5046 	EXP 	GratingStim: autoDraw = False
20.5046 	EXP 	GratingStim: autoDraw = False
20.5046 	EXP 	GratingStim: autoDraw = True
20.5711 	EXP 	GratingStim: autoDraw = False
20.5711 	EXP 	GratingStim: autoDraw = True
20.6236 	EXP 	New trial (rep=14, index=0): None
20.6396 	EXP 	GratingStim: autoDraw = False
20.6396 	EXP 	GratingStim: autoDraw = False
20.6396 	EXP 	GratingStim: autoDraw = False
20.6396 	EXP 	GratingStim: autoDraw = True
20.7046 	EXP 	GratingStim: autoDraw = False
20.7046 	EXP 	GratingStim: autoDraw = True
20.7597 	EXP 	New trial (rep=15, index=0): None
20.7713 	EXP 	GratingStim: autoDraw = False
20.7713 	EXP 	GratingStim: autoDraw = False
20.7713 	EXP 	GratingStim: autoDraw = False
20.7713 	EXP 	GratingStim: autoDraw = True
20.8396 	EXP 	GratingStim: autoDraw = False
20.8396 	EXP 	GratingStim: autoDraw = True
20.8907 	EXP 	New trial (rep=16, index=0): None
20.9049 	EXP 	GratingStim: autoDraw = False
20.9049 	EXP 	GratingStim: autoDraw = False
20.9049 	EXP 	GratingStim: autoDraw = False
20.9049 	EXP 	GratingStim: autoDraw = True
20.9719 	EXP 	GratingStim: autoDraw = False
20.9719 	EXP 	GratingStim: autoDraw = True
21.0291 	EXP 	New trial (rep=17, index=0): None
21.0407 	EXP 	GratingStim: autoDraw = False
21.0407 	EXP 	GratingStim: autoDraw = False
21.0407 	EXP 	GratingStim: autoDraw = False
21.0407 	EXP 	GratingStim: autoDraw = True
21.1053 	EXP 	GratingStim: autoDraw = False
21.1053 	EXP 	GratingStim: autoDraw = True
21.1572 	EXP 	New trial (rep=18, index=0): None
21.1760 	EXP 	GratingStim: autoDraw = False
21.1760 	EXP 	GratingStim: autoDraw = False
21.1760 	EXP 	GratingStim: autoDraw = False
21.1760 	EXP 	GratingStim: autoDraw = True
21.2428 	EXP 	GratingStim: autoDraw = False
21.2428 	EXP 	GratingStim: autoDraw = True
21.2918 	EXP 	New trial (rep=19, index=0): None
21.3068 	EXP 	GratingStim: autoDraw = False
21.3068 	EXP 	GratingStim: autoDraw = False
21.3068 	EXP 	GratingStim: autoDraw = False
21.3068 	EXP 	GratingStim: autoDraw = True
21.3727 	EXP 	GratingStim: autoDraw = False
21.3727 	EXP 	GratingStim: autoDraw = True
21.4245 	EXP 	New trial (rep=20, index=0): None
21.4433 	EXP 	GratingStim: autoDraw = False
21.4433 	EXP 	GratingStim: autoDraw = False
21.4433 	EXP 	GratingStim: autoDraw = False
21.4433 	EXP 	GratingStim: autoDraw = True
21.5076 	EXP 	GratingStim: autoDraw = False
21.5076 	EXP 	GratingStim: autoDraw = True
21.5581 	EXP 	New trial (rep=21, index=0): None
21.5736 	EXP 	GratingStim: autoDraw = False
21.5736 	EXP 	GratingStim: autoDraw = False
21.5736 	EXP 	GratingStim: autoDraw = False
21.5736 	EXP 	GratingStim: autoDraw = True
